1972,3.5,22.2,23.2,0,5.6,11.3,46,2.6,5,0.2,3.6,32.2,0,1.2,3.7,0,0,81.8,0,0,0,0,0,0,0,0,0,0,16.5,0,1.1,5.3,0,41.7,0.6,26.1,1.2,3.1,0,0,5.3,32,29.4,40,5.6,6,0.5,23.2,83.8,15,2.8,0,1.5,0.4,0.9,0,35.9,0,11,0.2,0,0,0,0,0,0,0.4,2.6,0,20,11.9,74.8,2.8,0,22.9,0,78,0.5,4.7,8.9,24.4,17.6,91,30.7,32.7,2.1,9.4,4.6,23.3,0,1.2,5.8,0,0.1,0,0,0,0,0,0,2.8,0,0,0,0,0,1.6,30.6,2.2,4.2,48.2,0,6.4,48.8,0.2,0,11,0,1.2,4.1,4.1,7.3,34,53.8,0.3,0,4.4,0.2,0.1,0,0,4.3,0,0,0.1,41.5,6,0,4.9,5.4,0.9,0,0,36.3,3.5,19.5,1,0,0,0.6,0.7,1,0.2,0,0.8,0,9,0.4,15.7,10.5,0,18.9,0,2.5,26.3,6.1,6.1,0,0,0,0,0,3.4,0.7,23.6,3,21.7,0,4.6,6.8,61.2,2.6,23.6,4.5,0,0,0,0,0,0,0,0,0.6,1.7,9.2,0.2,36.8,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,39.1,0,0,0,0,0,0,0,43,0.3,0.2,0,1,11.7,0.2,42,49.5,7.5,17,1.2,0,23,5.1,0,0.3,8.6,2.9,6,0.5,22.3,0,0.6,12,2.5,2.9,20.4,0,5.7,0,0,9.6,15.7,12.3,1.6,0.3,1.5,38.4,0,0,0.3,0.4,6.6,3.8,8.4,19.7,9.8,0.3,0.1,8.6,9.4,6.7,1.5,0,2.7,1.6,3.5,7.7,0.5,0.1,0,11.3,0,0.1,0,3.5,0,25.9,28.9,12.3,9.5,8.1,0,36.1,0.2,0,0.6,0,2,0.1,0,0,4.7,0,0,2.8,0.5,2.8,0,3.1,0,32.7,0,0,5.9,2.4,0,8.9,0,0.4,0,0.2,0,1.8,0,0,9.5,0,0,7.4,0,0,0,12.3,45.4,4.9,12.3,1.1,0,0,0,0,0,0,21.4,0,0,33.5,0.1,1.4,0,0,0,0,0,0,0.5,0,1.4,79,0.7,4.6,0.7,0,16.4,0,8.8,1,8.7,10.4,0.3,3,28.3,14,0,1.3,17.3,5.4,8.9,16.2,20.2,1.7,7.6,9.2,13.4,0.8,0.2,9.7,25.8,2.4,7.3,20.9,0,8.7,8.4,0,29.1,0,0,0,0,0,5.6,0,0,1.2,3.8,22,1,0,0,0,0,0,0,0,0,0,0,5,4.2,1.7,0
1974,0,0,0,0,22.9,0,23.4,0,0,35.7,0,0,22.2,0,3.7,12.4,0.3,3.3,3.4,0,1.7,0.3,34.2,0.3,0,9.4,0,4.1,0,0,0,43,0,0.2,0,0,0,3,0,0.3,0.4,0,0,14.2,0.6,42.7,0,0,26.4,0,0,0,0,0,22.6,0,0,18.5,11.5,2.7,0,0,0,0,5,9.3,0.8,1.3,9.6,26.5,0,14.2,32.1,0,0,4.6,8.5,0.4,5,1.2,34,0,0,2.8,11.7,0.8,4.6,0,0.5,0.4,12.6,0.4,0,0.1,28.9,10,13.5,41.8,0.4,1.5,7.5,3,0,3.8,0.1,0.9,0,0,2,0,1.8,20.5,13.9,10.8,0,44.3,0.1,24.8,3.6,0,0,0,0,8.5,0,0.2,2.5,1.9,3,25.3,5.6,0,0,29.5,17.3,0.6,8.4,0,0,3.7,0,0,37.6,2.6,14.2,0.4,1.9,54.5,10,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,8.5,0,9.8,0,0,0,0,4,0,13.9,0.1,0,0.2,14,0.5,0.2,9.1,28.1,0,6.1,10.2,0,0,0,0.8,0,0,0,18.3,17.3,0,27.2,40.3,34.4,0,0,1.9,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,14.1,0,35.4,0,2,11.4,0,0,0.5,6.5,2.7,4,0,0,0,0,0,13.3,0,3.1,19.5,0,0,8.6,11.4,21.8,0,28.4,0,1.3,3.4,22.2,0,0,0.2,0.5,0,21,0,0,0,4.6,6.5,14.4,0,0,1.4,4.2,3.2,0,0.7,0,5,4.8,1.6,0.6,0,0,0,0,2.4,48.4,5,0,4,0,0,10.5,6.1,67,5.4,6.9,0,0,0,0,0,17,35.1,3.7,0,0.1,3.1,0,22.9,2.1,10,3.5,30.4,18.6,6.3,3.8,11.4,2.1,1,0,0,0,0,0,8.2,7.1,0,0,0,0,0.6,3.6,0,0,0,20,3.4,5.4,0,0,0.5,0.2,1.4,15.3,26.6,5.4,0,0.2,1.6,13,28,19.5,0,26,0,2.4,0.8,10.3,0,0,0,7.1,0.3,0,11.8,99.5,56,4.1,19.9,5.4,4.8,0,0,0,0,0,0.2,19,13.4,0,5,5.1,5.2,1,33.2,0,2.2,0,0.8,2,19.8,17.5,0.4,0,0,5.2,1.4,15,7.9,71.8,0,0,0,0,0,0,0,0,0.4,18.4,0,0,5.2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0.3,0,0,18.3,5.4,0,5.9,4.3,2.4,0,0,0,0,0,0,0,5,0,4.4,0.6,1.7,31,20.4,0,0,0,0,0,0,0,5.6,2.7,12,8.5,0,0.7,7.8,0.3,0,18.1,2.4,1.4,9.9,1.2,1.4,0,88.5,18.4,8.3,2.8,6.5,0,0,1.2,0,0.6,16,7.4,22.6,7.3,2.4,1.9,62.7,1.5,0,6.6,0,11.8,3.1,20.2,0,20.7,26,11.1,35.5,7.2,0,0,15.8,5,1,14,0,0,0,0,6,0.8,0.2,0,0,9.4,3.4,1.4,2.4,1,26,29,0,0,0,0,0,17.4,3.4,0,2.7,0.8,5.4,11.4,63.5,10.4,7.2,6.8,10,5.6,3,2.4,6,7.4,18.3,24,8.6,16.8,1,3,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.8,0,0,1.4,17.1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,61.8,0,2.6,2,5.5,0,0.3,0,0,0,0,11.5,0,24.3,10,10.5,3.2,0,25.4,1.1,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,37.2,1,22.6,0,4,0,0,0,0,0
1977,10.8,7.6,68.3,0.4,7.4,6.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14.1,0,5.3,22.6,0.8,6.4,0,38.2,0,1.7,0.6,0,11,0,3.1,0,10.5,0,0,0,0,0,0,0,3.5,0,0.8,3,1.6,12.7,8,0,27.4,1,33.7,11.2,5.7,0,0,0,0,0,0,0,6.3,0,0,1.1,20.4,12.5,1.5,0,5.7,8.2,0,5.8,13.7,0,2,6.3,22.6,12.7,33.4,29.9,31.6,0,9,26.3,0,21.8,45.4,12.2,14,5.2,2,7.2,15,64.3,32.8,12,0.1,17,2.5,26.3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,31,3.7,27.2,39.5,22.5,8.4,7.4,1.8,0.4,35.8,0,2,1.6,0,0.5,0,44.6,12.1,0.8,0,0,0,1.5,16.2,19.8,0,10.2,32.6,6.7,35.1,16.8,13.5,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2.2,21.6,16.3,0,0.2,23.7,44.4,1,0,0,0,4.8,0,0,22.6,0,5.6,0,0,0,0,0,0,0,1.4,12.5,0,0,0,0,0,0,0.1
1978,0,0,0,0,0,0,0,0,0,5.3,5.1,0,0.5,4.8,6.6,6,37,0,0,8.8,7.1,16.3,0,0,0,2.3,0,0,0,1.1,0,0,0,0,0,0,4.3,0.7,3.6,0,9.8,2,11.6,6.5,14,0,0,8.1,0,16.2,0,0,0,0.3,8,24.5,0,0,5,40,0.6,2.6,0,2.2,2.4,0,1.2,48.8,0,7,2.5,0,0,1.2,6.3,11.8,3.6,3,17.2,5.5,9,0.3,0.3,1.1,25.3,0,0,0,0.5,3.4,32,3.4,1.4,6,0,0,0,9.7,1.5,9.6,42.9,41.2,32.1,30.2,4.6,2.9,0,16.7,21.5,16,14.1,33,10.2,0,7,11.7,0.1,2,15.9,4.6,6.4,0.6,35,0.5,2,9.4,12,0.5,7.5,42.8,1.2,10.2,1,0,0,0,0.4,5.6,5.8,0,12,12,40.6,2.1,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4,37,1.6,10.8,11.4,0,9.4,3,0,0,14.5,0,0.2,81.6,0,0,12,4,0,1.6,0,0,1,0,0,15.9,13.1,5,1,0.4,0,0,0,0,9,10.3,0,0,0,0,0,0,0,0,0,0,0.3,14,0,0,0,0,0,0.5,3
1979,0,0,0,0,0,0,0,0,20.4,7,8.6,0,3.5,1.6,1.2,0,13.2,0,1,0,0,0,0,0,0,0,0,0,18.6,0,32,0,13.5,31.6,0,0.4,2.9,0,0,0,1.6,0.2,0,0,12.7,18,0,0,0,42.2,0,0,9,0,0,2.9,26.8,8,0,0,21,0,0,0,0,0.6,0.2,18.3,0,19.2,0,18,0.4,0,19,13.4,4,7,11.8,2.6,15.2,45.3,4.5,0,19.4,9.1,0,3.4,1.5,61.8,34.1,4.5,10.6,34.8,8.2,7.1,0,0,0,16.6,73,53.2,3.5,1.8,37.4,32.8,19.4,8,25.8,12.5,13.2,0,18,34,0,0,0,1.7,0.6,17.3,3.6,13.8,12.3,0,9.3,0.3,14.4,39,1.4,0,41.4,39.5,0.7,10.3,1.6,16.6,22,65.4,57,28,14.8,49.4,0,0,0,0,11.2,0,0,15.6,15.6,6.4,2.4,2.2,2,0,1.3,0,0,0,2,0,0,0,0,0,28,11,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,7.7,1,2.5,7.6,0.1,0,11.8,2.8,2.8,0,7.6,0,13,9.5,3.6,34.4,36,0,0.4,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0.1,0,0,0.1,5.4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2.3,0,8.4,10.6,20.1,1.9,0,5,9,16.8,0.4,1,0,0,0,0,0,4.3,0.3,33.2,0,40.3,0,19.4,19,0.2,0,4.5,6.4,9.2,47,5.1,0,0,0.5,0.4,13.8,0,0,0,16.4,1.1,7.8,1.2,55,2.3,6,17,8.3,5.2,1,0,2.8,0,0,3,0.8,0,4.7,5.6,2.2,20.8,9.2,0,0,0,0,1,32.5,38.4,16,0,0,26.6,22.8,11,17.1,0,0,10.7,7,1,16.2,0.2,0,14.3,0.3,0,0,0,8.2,15.2,0.5,0,0,0,0,0,0,4.4,2.2,41.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,5.2,0,0,2.8,0.5,0,1,0,17.4,20.6,13.6,0.9,0,0,0,37.4,76.9,4.6,23,26,22.6,0,22,53,1.3,12,0,0,7,0,10,63.8,0.3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3.2
1981,0,12.6,27.7,0,18,0,10.1,0,31,0,25,0,33,0,57.6,13,21.1,6.3,16,10.9,0,23.2,0,27,0,1.2,0,17.8,0.3,42,32,18,39.6,6.7,0,12.7,0,0,41.8,0,0,1.6,1.7,14.7,45.4,23.6,9.6,7.7,37.2,1.4,41.6,0,15.6,1.8,15,24.8,12.4,10.8,0,10.6,2.4,20.4,0,7.2,1,0.6,5.2,0,10,1,9,1.2,8.4,0,0,22,0,7.6,29.8,49.6,0.3,0,3,0,0,0,0,12.6,2.6,16.4,6,5.6,11.4,8.9,3.5,23.4,0.2,0,12.4,0,31.4,11.6,17.1,2.8,21,20.2,1.2,0,3,0.3,8.5,48,29.6,32,8.5,18,15,0,6.5,63.3,1,0,0,22,8,0,0,0,23.2,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6.7,0.4,1,0,3.6,0,11.4,12.1,51.4,5.1,33.8,0.9,6.4,2.3,3.5,2.5,0,3.1,11,0,0,0.1,0.1,9.6,0.1,0,4.8,0,31.1,0.1,0,9.8,23.2,3.6,3.8,0,0,0,0,0,0,6.8,0,12.6,28.8,0,0,24,7.6,20.2,0.9,8.8,4.8,0.2,0,0,0,0,0,0,0,0,0,0,0
